DNI,Nombre,Asignatura,Nota,horas_estudio,Edad,Sexo,Ciudad,Correo,Telefono
1940,Filomena Martin,Fisica,8,6.311275090062095,19.0,Masculino,Ávila,amador45@example.org,+34979 48 26 91
6945,Felisa Folch,Matematicas,6,8.391345683488263,20.0,Femenino,Madrid,bernardino20@example.net,+34 807 48 54 01
5317,Manuel Hervia,Fisica,9,3.0,20.0,Femenino,Ávila,pugamiguel-angel@example.com,+34800 604 878
5142,Jose Carlos Lorenzo,Fisica,6,3.153718046767405,20.0,Femenino,Jaén,siniesta@example.net,+34976 45 97 40
9889,Albina Robledo,Matematicas,7,0.13074386025772866,22.0,Femenino,Ceuta,mateomoles@example.org,+34847 086 853
2033,Epifanio Feliu,Programacion,9,0.38297799030038326,18.0,Masculino,Ávila,maite22@example.org,+34 965 71 31 01
6157,Vicente Pallarès,Programacion,1,3.0,25.0,Masculino,Alicante,,+34931947080
5268,Jose Manuel Miralles,Programacion,7,5.0,23.0,Masculino,Jaén,garatenestor@example.org,+34 722 57 31 73
4773,Alex Villanueva,Programacion,6,3.3680213692603904,25.0,Masculino,Segovia,silvio00@example.com,+34945 458 338
4515,Luis Miguel Samper,Programacion,5,3.0,20.0,Masculino,Cádiz,roxana95@example.com,+34806 80 54 04
2137,Paulina Salinas,Matematicas,6,5.0,21.0,Masculino,Salamanca,rafaelacisneros@example.com,+34 882 442 738
1645,Adelaida Arana,Fisica,5,6.951493963983876,23.0,Masculino,Guadalajara,abrilgerardo@example.com,+34 814388916
3961,Samu Puga,Fisica,8,5.7042119318394375,19.0,,Zamora,alfonso93@example.com,
9559,Gabriel Redondo,Programacion,8,5.560111254661305,18.0,Femenino,Ciudad,pbauza@example.net,+34882817854
1715,Narciso Pazos,Matematicas,5,7.051342618355944,21.0,,Vizcaya,aaviles@example.net,+34 949 972 131
9575,Sara Ortuño,Fisica,6,4.0321318542631115,24.0,Masculino,Zamora,dimaslarrea@example.net,+34717909094
8131,Paulino Salgado,Matematicas,6,5.0,19.0,Femenino,Vizcaya,ana-belen69@example.net,
3640,Eugenio Marquez,Programacion,5,1.3693806533596797,23.0,Masculino,La Coruña,moises72@example.org,+34943432813
7314,Fidel Sans,Fisica,7,4.469984900403021,25.0,Masculino,Pontevedra,ruth56@example.net,+34 800 53 41 31
8483,Julio César Pelayo,Matematicas,6,4.9403040094639685,25.0,Femenino,León,gertrudis82@example.net,+34 926 99 55 55
3854,Octavia Palomo,Fisica,1,3.0,18.0,Masculino,Tarragona,jose-ramonmoll@example.org,+34 948 826 391
1167,Chus Ibañez,Programacion,9,5.0,20.0,Femenino,Zamora,narciso81@example.net,+34882 190 955
